回収先ID,支払先コード,支払先名,仕入先コード,仕入先名,ﾌﾘｶﾞﾅ,回収先１,回収先２,回収先３,住所･その他１,住所･その他２,住所･その他３,品目１,品目２,品目３,ｽﾎﾟｯﾄ,月,火,水,木,金,土,日,祝日,その他,無効,備考,更新日
1,1709000,(合)ポジティブ,1709032,ﾁｸﾌﾞP上溝事業所(ﾎﾟｼﾞﾃｨﾌﾞ),ﾁｸﾌﾞﾊﾟｯｹｰｼﾞｶﾐﾐｿﾞ,(株)ﾁｸﾌﾞﾊﾟｯｹｰｼﾞ上溝事業所,上溝事業所,↓,相模原市中央区上溝323,,,段ﾎﾞｰﾙ,雑がみ,ｽﾄﾚｯﾁ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2,1709000,(合)ポジティブ,1709031,ﾁｸﾌﾞP上依知事業所(ﾎﾟｼﾞﾃｨﾌﾞ),ﾁｸﾌﾞﾊﾟｯｹｰｼﾞｶﾐｲﾁ,(株)ﾁｸﾌﾞﾊﾟｯｹｰｼﾞ上依知事業所,上依知事業所,↓,厚木市上依知1495-1,,,段ﾎﾞｰﾙ,臭付段,雑誌,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
3,1075000,㈲ダイコー商事,1075001,㈱一全(ダイコー商事),ｲﾁｾﾞﾝ,(株)一全,(月火水木金土),↓,平塚市四之宮4-18-14,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
4,1161000,㈱田丸,1161004,ＥＳＰＯＴ（ﾊﾞｯｸﾔｰﾄﾞ）(田丸),ｴｽﾎﾟｯﾄﾊﾞｯｸﾔｰﾄﾞ㏂,ESPOT(ﾊﾞｯｸﾔｰﾄﾞ)㏂,(毎日),↓,伊勢原市桜台2-28-36,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
5,1161000,㈱田丸,1161003,ＥＳＰＯＴ（ﾎﾟｲﾝﾄ）(田丸),ｴｽﾎﾟｯﾄﾎﾟｲﾝﾄｼｽﾃﾑ㏂,ESPOT(ﾎﾟｲﾝﾄｼｽﾃﾑ)㏂,(毎日),↓,伊勢原市桜台2-28-36,,,雑故紙,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
6,1161000,㈱田丸,1161004,ＥＳＰＯＴ（ﾊﾞｯｸﾔｰﾄﾞ）(田丸),ｴｽﾎﾟｯﾄﾊﾞｯｸﾔｰﾄﾞ㏘,ESPOT(ﾊﾞｯｸﾔｰﾄﾞ)㏘,(毎日),↓,伊勢原市桜台2-28-36,,,,段ﾎﾞｰﾙ,段ﾎﾞｰﾙ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
7,1161000,㈱田丸,1161003,ＥＳＰＯＴ（ﾎﾟｲﾝﾄ）(田丸),ｴｽﾎﾟｯﾄﾎﾟｲﾝﾄｼｽﾃﾑ㏘,ESPOT(ﾎﾟｲﾝﾄｼｽﾃﾑ)㏘,(毎日),↓,伊勢原市桜台2-28-36,,,雑故紙,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
8,,,,,ﾘｸｼﾙｱﾂｷﾞ,LIXIL厚木,弟3火,↓,厚木市恩名1-8-1,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
9,2000,㈱アークル海老名営業所,2000,㈱アークル海老名営業所,ｱｰｸﾙ,ｱｰｸﾙ,(月~土),↓,海老名市門沢橋6-13-25,(なるべく9:00以降),,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,,,,ｲｼﾀﾞｾｲｻｸｼｮ,ｲｼﾀﾞ製作所,ｽﾎﾟｯﾄ,↓,平塚市東豊田480-51,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
